maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
176,Trung tâm chiến khu Đông Triều - chùa Bắc Mã,,"Thôn Bắc Mã, xã Bình Dương, An Sinh, Thị xã Đông Triều, Quảng Ninh",8,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1146"", ""email"": """", ""item_id"": ""1146"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
177,Chùa Hồ Thiên,,"Thôn Phú Ninh, xã Bình Khê, thị xã Đông Triều, Bình Khê, Thị xã Đông Triều, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1145"", ""email"": """", ""item_id"": ""1145"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
178,Chùa Quỳnh Lâm,,"phường Tràng An, Thị xã Đông Triều, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1144"", ""email"": """", ""item_id"": ""1144"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
179,Đền Thái,,"Thôn Trại Lốc, xã An Sinh, Thị xã Đông Triều, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1143"", ""email"": """", ""item_id"": ""1143"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
180,Đền An Sinh,,"Thôn Nghĩa Hưng, xã An Sinh, thị xã Đông Triều, Thị xã Đông Triều, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1142"", ""email"": """", ""item_id"": ""1142"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
181,Chợ Rừng,,"Phường Quảng Yên, Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1141"", ""email"": """", ""item_id"": ""1141"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
182,Làng nghề truyền thống Hưng Học,,"phường Nam Hòa, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1140"", ""email"": """", ""item_id"": ""1140"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
183,Thác Mơ,,"Khu Lâm Sinh 2,Phường Minh Thành, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1139"", ""email"": """", ""item_id"": ""1139"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
184,Chùa Yên Mỹ,,"xã Lê Lợi, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1138"", ""email"": """", ""item_id"": ""1138"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
185,Đền thờ Tiến sỹ Vũ Phi Hổ,,"xã Lê Lợi, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1137"", ""email"": """", ""item_id"": ""1137"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
186,Đền thờ Vua Lê Thái Tổ,,"xã Lê Lợi, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1136"", ""email"": """", ""item_id"": ""1136"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
187,Miếu Tiên Công,,"Thôn Cẩm Thành, xã Cẩm La xã Cẩm La, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1135"", ""email"": """", ""item_id"": ""1135"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
188,Chùa Yên Giang,,"Khu 2, phường Yên Giang, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1134"", ""email"": """", ""item_id"": ""1134"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
189,"Đình, chùa Yên Đông",,"Khu 3, phường Yên Hải, thị xã Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1133"", ""email"": """", ""item_id"": ""1133"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
190,Nhà thờ họ Lê,,"Khu 5, phường Phong Cốc, thị xã Quảng Yên, Phong Cốc, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1132"", ""email"": """", ""item_id"": ""1132"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
191,Đình Phong Cốc,,"Khu 4, phường Phong Cốc, thị xã Quảng Yên, Phong Cốc, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1131"", ""email"": """", ""item_id"": ""1131"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
192,Hai cây Lim Giếng Rừng,,"Khu 5, phường Quảng Yên, thị xã Quảng Yên, Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1130"", ""email"": """", ""item_id"": ""1130"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
193,Bảo tàng Bạch Đằng,,"Khu 5, phường Quảng Yên, thị xã Quảng Yên, Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1129"", ""email"": """", ""item_id"": ""1129"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
194,Khu trung tâm di tích lịch sử Bạch Đằng,,"Khu 6, phường Yên Giang, Thị xã Quảng Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1128"", ""email"": """", ""item_id"": ""1128"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
195,Quần thể danh lam thắng cảnh Núi Mằn,,"xã Thống Nhất, thành phố Hạ Long, Thống Nhất, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1127"", ""email"": """", ""item_id"": ""1127"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
196,Khu bảo tồn bản văn hóa người Dao Thanh Y Bằng Cả,,"Thôn 2 (thôn Chín Gian), xã Bằng Cả, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1126"", ""email"": """", ""item_id"": ""1126"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
197,Thiên đường hoa Quảng La,,"xã Quảng La, thành phố Hạ Long, Quảng La, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1125"", ""email"": """", ""item_id"": ""1125"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
198,"Đại Yên Plaza, Vụng Cặp Táo",,"vịnh Hạ Long, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1124"", ""email"": """", ""item_id"": ""1124"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
199,Cung Quy hoạch và Hội chợ triển lãm tỉnh Quảng Ninh,,"phường Hồng Hải, thành phố Hạ Long, Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1123"", ""email"": """", ""item_id"": ""1123"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
200,Vụng Tùng Sâu,,"vịnh Hạ Long, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1122"", ""email"": """", ""item_id"": ""1122"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
201,Cụm di tích Chùa Lôi Âm và Hồ Yên Lập,,"Phường Đại Yên, tp Hạ Long, Tuần Châu, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1121"", ""email"": """", ""item_id"": ""1121"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
202,Đền Cái Lân,,"Phường Bãi Cháy, thành phố Hạ Long, Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1120"", ""email"": """", ""item_id"": ""1120"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
203,Trung tâm Mỹ Ngọc - Công ty CP Ngọc trai Hạ Long,,"Phường Hà Khẩu, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1119"", ""email"": """", ""item_id"": ""1119"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
204,Trung tâm thương mại Marine Plaza,,"Phường Hùng Thắng, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1118"", ""email"": """", ""item_id"": ""1118"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
205,Trung tâm Thương mại Vincom Hạ Long center,,"Phường Bạch Đằng, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1117"", ""email"": """", ""item_id"": ""1117"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
206,Chợ Hạ Long 1,,"Phường Hồng Gai, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1116"", ""email"": """", ""item_id"": ""1116"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
207,Bảo tàng - Thư viện tỉnh - Quảng trường 30/10,,"phường Hồng Hải, thành phố Hạ Long, Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1115"", ""email"": """", ""item_id"": ""1115"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
208,Công viên Hạ Long,,"Phường Bạch Đằng, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,0982139888,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1114"", ""email"": """", ""item_id"": ""1114"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
209,Nhà thờ Hòn Gai,,"phường Bạch Đằng, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1113"", ""email"": """", ""item_id"": ""1113"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
210,Chùa Long Tiên,,"Phường Bạch Đằng, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,0973311888,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1112"", ""email"": """", ""item_id"": ""1112"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
211,Trung tâm Văn hóa Núi Bài Thơ và Đền thờ Đức ông Trần Quốc Nghiễn,,"Phường Hồng Gai, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,0913578538,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1111"", ""email"": """", ""item_id"": ""1111"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
212,Chùa Ba Vàng,,"tổ 17, khu 5, phường Quang Trung, thành phố Uông Bí, Thành phố Uông Bí, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,020302036557799,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1107"", ""email"": """", ""item_id"": ""1107"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
213,Thác Lựng Xanh,,"Phường Quang Trung, Thành phố Uông Bí, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,020302033665530,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1110"", ""email"": """", ""item_id"": ""1110"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
214,Chùa Phổ Am,,"Phường Bắc Sơn, Thành phố Uông Bí, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,020302033854421,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1109"", ""email"": """", ""item_id"": ""1109"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
215,Đình Đền Công - chùa Long Khánh - miếu Cổ Linh,,"khu Đền Công 2, phường Trưng Vương, thành phố Uông Bí, Vàng Danh, Thành phố Uông Bí, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,020302033566965,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1108"", ""email"": """", ""item_id"": ""1108"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
216,Di tích danh thắng Yên Tử,,"Xã Thượng Yên Công và phường Phương Đông, Thành phố Uông Bí, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,020302033854153,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1106"", ""email"": """", ""item_id"": ""1106"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
217,Văn Miếu - Quốc Tử Giám,,"58 Quốc Tử Giám, Quận Đống Đa, Thành phố Hà Nội",21,dia_danh,0.0,0.0,0.0,,,02438452917,http://vanmieu.gov.vn,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1"", ""email"": ""info@vanmieu.vn"", ""item_id"": ""1"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
218,Vườn Dâu Tằm Mỹ Khánh ở An Giang,,"Võ Văn Hoài, Ấp Bình Hòa 2, Thành phố Long Xuyên",1,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1104"", ""email"": """", ""item_id"": ""1104"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
219,Du lịch sinh thái Rừng tràm Tân Tuyến,,"Tân Tuyến, Huyện Tri Tôn",0,dia_danh,0.0,0.0,0.0,,,0949981720,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1103"", ""email"": """", ""item_id"": ""1103"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
220,Vườn trái cây Gò Chùa,,"22B, Gò Dầu, Gò Dầu, Huyện Gò Dầu",0,dia_danh,0.0,0.0,0.0,,,0834983210,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1102"", ""email"": """", ""item_id"": ""1102"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
221,Tháp cổ Bình Thạnh,,"ĐT786, Trảng Bàng, Huyện Trảng Bàng",0,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1101"", ""email"": """", ""item_id"": ""1101"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
222,Công viên nước Thanh Lễ,,"Đại lộ Bình Dương, Thành phố Thủ Dầu Một, Bình Dương",8,dia_danh,0.0,0.0,0.0,,,02740968908086,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1098"", ""email"": """", ""item_id"": ""1098"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
223,Khu du lịch làng cổ Phước Lộc Thọ,,"67A Tỉnh lộ 824, ấp 2, Huyện Đức Hòa, Tây Ninh",49,dia_danh,0.0,0.0,0.0,,,02723765567,https://www.langcophuocloctho.vn,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1100"", ""email"": ""info@langcophuocloctho.vn"", ""item_id"": ""1100"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
224,Quán Café Gió & Nước Bình Dương,,"6/28T Trần Bình Trọng, Thành phố Thủ Dầu Một, Bình Dương",8,dia_danh,0.0,0.0,0.0,,,02740913720211,https://www.giovanuoc.vn,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1099"", ""email"": ""lienhe@giovanuoc.vn"", ""item_id"": ""1099"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
225,Cụm du lịch hồ Dầu Tiếng,,"Xã Định Thành, Huyện Dầu Tiếng, Huyện Dầu Tiếng, Bình Dương",8,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1096"", ""email"": """", ""item_id"": ""1096"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
226,Khu Du Lịch Thủy Châu,,"55 DT743C Phường Bình Thắng, TP. Dĩ An,, Thị xã Dĩ An, Bình Dương",8,dia_danh,0.0,0.0,0.0,,,02740965101510,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1095"", ""email"": """", ""item_id"": ""1095"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
227,Làng Tre Phú An,,"124 ĐT744, Phú An, Thị xã Bến Cát, Bình Dương",8,dia_danh,0.0,0.0,0.0,,,02743580717,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1094"", ""email"": """", ""item_id"": ""1094"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
228,Hàng cau vua Tân Trụ,,"Đường Ông Đồ Nghị, Tân Trụ, Huyện Tân Trụ, Tây Ninh",49,dia_danh,0.0,0.0,0.0,,,02720898475800,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1090"", ""email"": """", ""item_id"": ""1090"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
229,Khu du lịch Cánh Đồng Bất Tận,,"Ấp 3, Huyện Mộc Hóa, Tây Ninh",49,dia_danh,0.0,0.0,0.0,,,02720911416068,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1089"", ""email"": ""canhdongbattan1983@gmail.com"", ""item_id"": ""1089"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
230,Làng nổi Tân Lập,,"Quốc lộ 62, Huyện Mộc Hóa, Tây Ninh",49,dia_danh,0.0,0.0,0.0,,,02723968133,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1088"", ""email"": """", ""item_id"": ""1088"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
231,Khu Lưu Niệm Nhạc Sĩ Cao Văn Lầu,,"Đường Ninh Bình, phường 2, thành phố Bạc Liêu, Thành phố Bạc Liêu, Bạc Liêu",38,dia_danh,0.0,0.0,0.0,,,02913829966,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1093"", ""email"": """", ""item_id"": ""1093"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
232,Vườn chim Bạc Liêu,,"Đường Cao Văn Lầu, , Thành phố Bạc Liêu, Bạc Liêu",2,dia_danh,0.0,0.0,0.0,,,02913835991,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1092"", ""email"": """", ""item_id"": ""1092"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
233,Khu du lịch Nhà Mát,,", Bạc Liêu",2,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1087"", ""email"": """", ""item_id"": ""1087"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
234,Tháp Chóp Mạt,,"ấp Xóm Mới, Huyện Tân Biên",0,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1086"", ""email"": """", ""item_id"": ""1086"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
235,Tham quan căn cứ trung ương cục miền Nam,,"P2RQ+H55, Tân Lập, Huyện Tân Biên",0,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1085"", ""email"": """", ""item_id"": ""1085"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
